Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,17,30,0.0,0.0,D,1.78,4.09,4.71,1.82,4.09,5.0,1.73,3.52,4.6,4,3,4,15,17,-2,2,3,6,7,15,-8
2012,27,5,0.0,2.0,A,1.57,4.22,6.75,1.58,4.75,7.69,1.48,3.92,6.67,2,4,5,12,12,0,1,5,5,9,18,-9
2012,12,21,2.0,1.0,H,2.59,3.44,2.92,2.63,3.45,3.2,2.34,3.25,2.88,3,3,6,21,26,-5,8,0,4,17,10,7
2012,22,35,0.0,0.0,D,2.04,3.52,4.07,2.1,3.52,4.07,2.02,3.28,3.51,6,4,2,18,11,7,9,2,1,20,11,9
2012,6,16,1.0,0.0,H,1.53,4.51,6.81,1.56,4.51,6.81,1.52,3.9,5.98,5,2,5,21,17,4,1,5,6,13,20,-7
2012,5,11,0.0,0.0,D,3.01,3.34,2.57,3.15,3.34,2.57,2.95,3.18,2.33,2,5,5,11,18,-7,4,3,5,13,13,0
2012,18,3,0.0,0.0,D,2.33,3.47,3.29,2.37,3.47,3.6,2.18,3.26,3.16,7,4,1,22,8,14,10,1,1,25,8,17
2012,33,17,4.0,1.0,H,1.69,4.03,5.5,1.76,4.03,5.5,1.69,3.6,4.76,6,1,5,17,15,2,4,4,4,15,17,-2
2012,34,2,0.0,0.0,D,2.06,3.58,3.92,2.06,3.58,4.0,1.98,3.32,3.65,3,4,5,13,19,-6,2,2,8,12,25,-13
2012,14,27,2.0,1.0,H,2.0,3.34,4.5,2.04,3.8,4.5,1.9,3.32,3.93,6,2,4,15,13,2,2,4,6,12,14,-2
2012,30,26,3.0,1.0,H,1.66,4.09,5.76,1.8,4.09,5.76,1.68,3.66,4.75,2,4,6,7,15,-8,4,1,7,16,24,-8
2012,32,29,2.0,1.0,H,2.02,3.46,4.18,2.1,3.8,4.33,1.92,3.31,3.85,1,7,4,7,11,-4,4,4,4,15,15,0
2012,2,6,1.0,2.0,A,3.06,3.62,2.4,3.06,3.62,2.65,2.76,3.25,2.43,2,3,8,12,25,-13,6,2,5,22,17,5
2012,27,22,0.0,1.0,A,2.33,3.35,3.41,2.4,3.39,3.41,2.26,3.21,3.06,2,4,7,13,16,-3,6,5,2,18,11,7
2012,30,16,2.0,0.0,H,1.79,3.77,5.05,1.85,3.77,5.05,1.8,3.47,4.25,3,4,6,10,16,-6,1,5,7,13,21,-8
2012,12,18,0.0,2.0,A,2.59,3.6,2.8,2.63,3.6,2.81,2.51,3.27,2.65,4,3,6,23,27,-4,7,5,1,22,8,14
2012,21,5,3.0,1.0,H,1.34,5.15,12.11,1.4,5.3,12.17,1.33,4.53,9.43,8,0,5,18,12,6,2,6,5,11,18,-7
2012,33,34,1.0,0.0,H,1.44,4.88,8.17,1.44,4.97,9.0,1.39,4.29,7.79,7,1,5,21,16,5,3,5,5,13,19,-6
2012,35,11,0.0,0.0,D,2.15,3.5,3.69,2.27,3.5,3.8,2.06,3.24,3.48,9,3,1,20,11,9,4,4,5,13,13,0
2012,14,29,1.0,2.0,A,1.62,4.28,5.82,1.65,4.4,5.9,1.61,3.72,5.28,7,2,4,17,14,3,4,4,5,16,17,-1
2012,26,32,3.0,0.0,H,2.17,3.31,3.87,2.25,3.35,3.87,2.11,3.23,3.34,4,1,8,17,27,-10,2,7,4,9,12,-3
2012,22,26,0.0,0.0,D,1.41,5.0,9.0,1.44,5.0,9.26,1.39,4.34,7.83,7,5,2,19,11,8,5,1,8,20,27,-7
2012,34,35,0.0,2.0,A,3.1,3.27,2.54,3.45,3.3,2.62,3.02,3.18,2.29,3,5,6,13,20,-7,9,4,1,20,11,9
2012,5,30,0.0,0.0,D,2.63,3.15,3.1,2.7,3.29,3.1,2.43,3.12,2.85,2,6,6,12,21,-9,4,4,6,12,16,-4
2012,11,2,1.0,1.0,D,1.6,4.08,6.37,1.6,4.17,8.33,1.47,3.9,6.89,4,5,5,13,13,0,2,3,9,13,27,-14
2012,6,27,1.0,2.0,A,1.83,3.63,5.03,1.92,3.63,5.03,1.81,3.37,4.29,7,2,5,24,18,6,2,4,8,13,17,-4
2012,16,17,0.0,2.0,A,2.31,3.39,3.43,2.5,3.39,3.43,2.28,3.24,2.99,1,5,8,13,23,-10,4,4,5,16,21,-5
2012,32,14,4.0,2.0,H,2.35,3.49,3.24,2.44,3.49,3.37,2.3,3.2,2.99,2,7,5,9,15,-6,7,2,5,18,16,2
2012,3,12,1.0,0.0,H,1.38,5.3,9.0,1.41,5.3,9.15,1.36,4.48,7.97,10,2,1,25,8,17,4,3,7,23,29,-6
2012,18,33,2.0,1.0,H,2.21,3.31,3.74,2.22,3.32,3.75,2.07,3.19,3.48,8,5,1,24,8,16,8,1,5,22,16,6
2012,29,21,0.0,0.0,D,2.8,3.68,2.54,2.93,3.68,2.54,2.73,3.27,2.43,5,4,5,18,18,0,9,0,5,21,13,8
2012,5,14,0.0,1.0,A,2.82,3.41,2.68,3.07,3.41,2.68,2.79,3.12,2.48,2,7,6,12,21,-9,7,2,6,20,20,0
